id,name,west,south,east,north,,,
1,Gour Mahmoud,2.54573805,26.83242172,2.68914978,26.98022335,,,
2,Hassi Hassine,2.4816876,26.81490193,2.55671466,26.87812258,,,
3,In Sallah,2.45195835,27.0334711,2.52831405,27.18746977,,,
4,Mahbes Guenatir,3.16651164,26.17787909,3.19760452,26.20348126,,,
5,Djebel Thara,3.06262223,25.98838054,3.10214657,26.0228136,,,
6,Unknown,3.243313,26.02734725,3.2654077,26.04550074,,,
7,Krebb Ed Douro,2.58364494,25.94458702,2.62864783,25.98043715,,,
8,Tibardine,2.21062928,25.92934192,2.34236421,26.04697065,,,
9,Oued Djaret,2.30581701,26.6406171,2.35752852,26.70334333,,,
10,Djebel Mouahdrine,2.9766077,26.08821198,3.050097,26.16512283,,,
11,Hassi Moumene,2.45889958,27.40245216,2.63103833,27.59784182,,,
12,Garet El Befinat,2.24844475,27.74362693,2.33701211,27.84235911,,,
13,Reg,1.91450817,28.00213081,2.23102501,28.29310198,,,
14,Bouteraa,1.76415286,27.80573136,1.96415801,27.96695046,,,
15,Garet El Guef,2.01380368,27.26628407,2.12081377,27.42754637,,,
16,Oued Talha,1.18531204,27.23291494,1.35535766,27.32916301,,,
17,Hassi M’Sari,1.13532467,27.34802383,1.2929677,27.44545816,,,
18,Adrar Morrat NE,1.47232322,25.75810492,1.54307189,25.82009295,,,
19,Adrar Morrat SW,1.32502435,25.61867542,1.36228769,25.66209788,,,
20,Bahar El Hammar,1.69002068,26.17990959,1.90904066,26.39850041,,,
21,Tit,1.91931222,26.79976049,1.97648821,26.84890988,,,
22,Tirechoumine,2.14465708,26.30296609,2.20062494,26.37654752,,,
23,Anasmit,2.9419592,26.18335404,2.97569814,26.22569433,,,
24,In Bazzene,2.81745188,26.37509519,2.8732321,26.48505152,,,
25,In Bazzene N,2.74622124,26.54754296,2.82633193,26.61527661,,,
26,Djebel Belda,3.10923073,26.39053674,3.18696892,26.44873648,,,
27,Hassi Barouda,1.05009689,28.34342523,1.60815848,28.79177508,,,
28,Teguentour,2.41326872,28.30468437,2.64047735,28.61711754,,,
29,Krechba,2.12224889,29.01100221,2.30041313,29.1889069,,,
30,Erg Choueref,1.14389475,29.22735683,1.20167078,29.26567222,,,
31,Bejouen,0.99,29.05662372,1.10101374,29.15218198,,,
32,Ramedj,0.48,29.75885197,0.66,29.919129,,,
33,Oued Zine,0.21,28.04811407,0.42,28.16079612,,,
34,Hassi Sbaa,-0.17,28.13319143,-0.1,28.18415663,,,
35,Hassi Llatoou,0.27,27.74254931,0.34,27.79415296,,,
36,Hassi Llatoou NE,0.29,27.81774713,0.42,27.92781325,,,
37,Hassi Llatoou Cambrien,0.22,27.80182343,0.27,27.83759802,,,
38,Qued Tourhar,0.6,27.76397451,0.65,27.80597353,,,
39,Azzene,0.57,27.95077228,0.66,28.02550108,,,
40,Foukroun,0.52,28.10299154,0.63,28.17125308,,,
41,Mekerrane N,1.29906103,26.53409978,1.3263339,26.55726798,,,
42,Azrafil SE,0.23,26.68587781,0.34,26.7679069,,,
43,Reggane,0.04,26.74939363,0.25,26.94772647,,,
44,Kahal Tabelbala N,-0.96,27.84250297,-0.88,27.89094447,,,
45,Djebel Heirane Kahal ,-0.88,27.62731367,-0.84,27.6676808,,,
46,Djebel Heirane N,-0.86,27.32689435,-0.85,27.33519837,,,
47,Feidj El Had,-1.52,28.12721868,-1.5,28.1392779,,,
48,Hassi M’Dakane,-1.94,28.28228453,-1.8,28.38518662,,,
49,Touat / Decheira,-0.55,28.14695454,-0.47,28.2370201,,,
50,Hassi Tidjerane,0.42,30.81833644,0.63,30.96744627,,,
51,Hassi Ba Hammou,1.81382331,30.80075547,2.05961264,31.00699486,,,
52,Meharez,-1.82,31.33821937,-1.79,31.35810312,,,
53,Hassi R’Mel,3.00017851,32.59972842,3.55448286,33.26090425,,,
54,Hassi R’Mel S,2.93738031,32.58301482,3.09135371,32.67986304,,,
55,Macouda,3.68252084,32.37051312,3.7506945,32.42403476,,,
56,Djorf,3.87549405,32.54746622,3.94715459,32.59162628,,,
57,Oued Noumer,3.97912073,32.35548369,4.06767841,32.43897227,,,
58,Unknown,4.01120624,32.6391054,4.0255429,32.64920808,,,
59,Oued Noumer,3.95041347,32.49461853,3.98733183,32.52457621,,,
60,Oued Noumer,3.93547837,32.21979529,4.03454204,32.3009542,,,
61,Unknown,4.15062857,32.21946281,4.1953743,32.25114296,,,
62,Unknown,4.08653771,32.26229131,4.13478938,32.29950391,,,
63,Unknown,4.06894803,32.242557,4.09915258,32.2633303,,,
64,Ait Kheir,4.01810115,32.12435768,4.14181425,32.22804605,,,
65,Unknown,3.94463599,32.16805767,3.96691462,32.1887221,,,
66,Unknown,3.92199716,32.11984862,3.95207719,32.1453825,,,
67,Fouye Tabankort,7.2503948,28.24483242,7.89024229,28.79153071,,,
68,Adouhoum,7.61405839,27.948427,7.68732994,28.00898959,,,
69,Mezoratine,7.79943652,27.70704852,7.95302542,27.97366303,,,
70,Remal,8.32031207,27.63468141,8.39308218,27.68226246,,,
71,Alrar,9.4739601,28.50382816,9.91272702,28.89991037,,,
72,Alar (Lybia),9.88533466,28.77216113,10.12596694,28.99966139,,,
73,Stah,9.62928485,28.84323304,9.82102863,28.99290701,,,
74,Mereksene,9.64414256,29.08827965,9.72283801,29.15931034,,,
75,Ohanet,8.74728676,28.65288804,9.08013483,28.9433208,,,
76,Dimera,9.24153601,28.62261377,9.29822545,28.67436006,,,
77,Dimera,9.22643998,28.6717571,9.28409529,28.7302354,,,
78,Dimera,9.23765516,28.73085869,9.31138077,28.77795299,,,
79,Dimera,9.2739841,28.77481202,9.29277645,28.78958328,,,
80,Dimera,9.2469325,28.81676421,9.2892872,28.84868059,,,
81,Dimera,9.10571419,29.00180689,9.14999923,29.03879896,,,
82,Antar,9.78802535,28.98824431,9.88801426,29.1161902,,,
83,Rhourde Adra S,6.39671061,29.17853333,6.6732465,29.61086926,,,
84,Rhourde Nouss,6.54640553,29.62978609,6.79889944,29.80488708,,,
85,Rhourde Adra,6.70141434,29.43523829,6.8305223,29.61267559,,,
86,Hassi Messaoud,5.7829,31.4966,6.30879441,31.97312376,,,
87,Nezia,6.47893277,30.62364472,6.57965677,30.73578202,,,
88,Gassi Touil,6.42424035,30.27550938,6.61508268,30.50126959,,,
89,Rhourde Akbar,6.70708103,31.15808667,6.83519174,31.23531507,,,
90,Rhourde Sayah,6.62424485,30.98012518,6.65871631,31.00695173,,,
91,El Merk,7.75482639,29.86912997,8.23203439,30.35240598,,,
92,Ourhoud,7.95503652,30.52981129,8.23134983,30.86611829,,,
93,Bir Sal Fatima,8.41397435,31.11594843,8.4683478,31.16505893,,,
94,Bir Sal Fatima,8.35265864,31.05265561,8.43006453,31.13349503,,,
95,Bir Sal Fatima,8.3574464,30.94946204,8.46987687,31.03509257,,,
96,Bir Sal Fatima,8.47056609,31.17033384,8.60561797,31.29752596,,,
97,Bir Sal Fatima,8.28665403,31.24895134,8.34089284,31.34329377,,,
98,Qoubba N,8.04916892,30.90388553,8.29190555,31.08059635,,,
99,El Borma,9.1356427,31.55720341,9.36330996,31.73747845,,,
100,Hassi Berkine,7.99713677,31.04129328,8.07573965,31.11304954,,,
101,Hassi Berkine,8.04441096,31.12174785,8.19357525,31.249377,,,
