IME Q,SZA,PW,PL,PPS,Wind
1968,48.67871094,11,39.962,4.424464,1.85
6472,48.18505478,33,114.481,26.164391,1.72
5123,41.38830948,7,15.811,0.984087,5.81
3606,19.70612526,8,19.849,1.626227,2.97
2298,45.2440834,44,220.907,57.444321,0.55
7380,54.30921173,30,88.566,27.870264,1.53
7953,55.66442108,17,139.089899,12.559063,5.21
3097,43.64043808,32,142.636,13.598059,2.58
10003,31.63439751,16,57.585,4.637528,6.54
3214,52.69446564,22,91.214,18.444513,1
9760,18.07779121,42,135.162865,24.116215,2.7
5750,27.72839165,7,20.615528,1.234181,5.07
12367,21.12216187,11,21.932,3.151817,5.47
3963,54.56016541,6,24.698,1.829405,3.94
3250,51.3298378,13,105.802,5.427189,2.91
2030,52.4019928,8,27.295,2.056432,3.05
1118,46.840065,10,13.416,1.853871,0.49
6460,43.38073349,12,23.77,2.235137,5.13
3359,57.99903107,14,77.201,7.776131,3.46
7484,44.90973282,26,89.051,14.261831,4.32
4620,35.43985367,12,25.71,3.638061,2.38
11992,35.43985367,20,41.437,10.245962,2.36
5705,41.56132126,14,57.245,10.915012,1.65
4915,20.60995102,13,35.171,3.656242,3.55
1944,18.0331459,6,19.647,0.88569,2.67
9914,45.00307846,22,51.624,14.208742,1.78
3858,58.23955536,38,81.615,21.095085,1.32
9631,25.58346558,14,31.623,5.656097,4.34
2975,58.03326035,24,42.059,13.660248,0.96
6637,57.0331459,20,43.566,15.265249,2.1
