IME Q,SZA,PW,PL,PPS,Wind
7093,53.88219452,25,105.171,14.357225,4.99
7912,46.91883469,22,33.734,6.94629,2.8
2165,52.54864883,5,14.213,1.009519,3.04
11119,57.02753067,51,140.132,70.719543,1.81
3863,46.54125595,6,12.728,0.657741,4.49
2112,56.58867645,50,183.096,111.341125,0.28
2680,38.3097496,10,26.019,2.058054,2.47
2222,27.17357635,6,22.136,1.479399,2.01
4467,57.37683868,21,66.648,12.202908,1.58
7826,17.29937553,15,36.125,3.284664,3.21
3441,33.17743301,12,26.019,2.523823,1.86
7342,30.37853813,46,124.31,16.50914,3.01
6923,20.60995483,25,67.897,9.885719,3.48
2669,49.87559128,20,52.479,11.376623,1.56
8024,48.67871475,24,67.941,17.770792,1.89
7131,26.24163628,17,42.942,3.981505,4.83
6144,24.19156075,14,113.442,4.075279,7.46
13773,45.30011368,18,92.698,11.850988,6.28
3360,46.99666977,9,23.087,2.245149,4.28
5014,18.033144,15,77.318,10.26774,2.57
6013,20.07365036,11,33.015,3.744573,3.54
9994,57.52215576,17,73.824,7.708331,4.63
11715,18.50239563,26,87.023,11.29498,4.83
10616,24.7290287,32,111.665,17.439953,2.85
4717,57.36175156,9,22.804,2.258023,3.35
2081,23.18912125,8,42.438,2.910166,1.6
2079,56.19800186,13,54.818,2.99286,4.9
4490,17.6198864,19,58.524,9.954019,1.2
1723,43.5574913,9,12.166,0.990477,5.09
7541,18.92286682,25,53.339,6.254411,6.06
3038,38.04981232,18,36.62,2.941318,2.49
12756,46.61987305,19,36.797,9.925472,2.59
5235,40.24038315,13,52.773,5.402312,3.35
7580,55.75769424,31,143.056,58.70388,1.28
11882,23.26878738,11,22.561,2.11003,7.8
12991,17.16308403,32,54.231,9.27617,2.97
2219,22.69537163,5,15.62,1.138553,1.61
3696,51.36310196,10,38.013,2.860201,4.39
6488,20.1992321,12,81.835,4.495902,6.32
4050,41.61803818,7,14.866,0.756874,5.79
4213,27.52501488,11,26.476,2.781101,2.01
4332,49.69342422,19,70.007,5.103773,3.77
6651,39.30321884,18,52.773,9.81398,1.85
1701,57.03315735,10,23.345,1.746094,2
10933,43.09009171,16,78.237,10.850086,4.24
3939,53.67754745,43,167.287,53.216301,0.82
2672,52.60944366,19,119.541,10.994936,2.42
2189,16.904356,8,14.866,0.803466,2.53
13072,41.2112999,18,76.276,8.008808,9.14
3141,18.50239563,8,19.313,1.540799,4.75
3288,41.67637253,13,30.871,4.735059,1.54
9174,39.66534042,37,39.319,15.268558,1.86
6611,56.38757706,15,75.18,9.846436,5.14
10762,17.04310417,10,66.03,2.899597,6.88
3795,51.11962509,8,19.647,1.524246,3.63
2455,41.86401749,21,103.856,12.781973,1.54
2294,20.36494827,6,15.811,0.721182,3.56
5395,43.3616066,19,69.26,5.676425,4.79
11002,20.11833382,22,64.125,5.469008,5.66
5070,57.54094696,36,100.18,23.700724,2.18
6493,49.7252388,20,38.21,11.312896,1.58
4566,55.7923584,55,124.338,70.897675,0.7
5396,24.00224686,9,29.155,1.798362,5.56
5928,19.87661934,9,18.028,1.857703,3.59
10879,28.01611137,11,17.464,1.884483,7.42
7320,41.69983292,19,83.217,7.6398,5.18
1695,17.61988449,18,24.739,2.104483,1.17
1356,22.97556686,13,32.249,1.985196,1.27
8746,41.94628525,23,92.195,21.00222,2.26
1539,55.7923584,20,48.508,9.376514,0.66
